,COUNTY,USAWT2RC,W1STATE,WWWHISP,CENSDIV,F2,STRATA,WWWRACE3,WWWBLACK,WWWAGE,WWWEDU5,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
593,-0.560066943171069,-0.6247329578714569,-0.5636363636363637,-1,0.29032258064516125,0.3333333333333335,1.0,1,-1,-0.303030303030303,0.5,1,0,0,0,0,0,0
1345,-0.9622717019573602,0.13175665160322048,-0.9636363636363636,-1,0.9999999999999998,0.3333333333333335,1.0,0,1,-0.8181818181818181,0.0,0,0,0,0,0,0,0
808,-0.08782652986975203,-0.24489467562289724,-0.09090909090909094,-1,-0.3548387096774195,1.0,1.0,-1,-1,-0.030303030303030276,0.0,1,0,0,1,1,1,1
2044,-0.08644400785854633,-1.0,-0.09090909090909094,-1,-0.3548387096774195,-0.33333333333333326,0.0,0,1,-0.4242424242424241,0.0,0,0,0,0,0,0,0
1411,0.38419559048242724,-0.23639876540447702,0.38181818181818183,-1,-0.3548387096774195,-0.33333333333333326,1.0,-1,-1,-0.21212121212121193,0.0,1,0,0,0,1,0,0
1510,0.05420941570253923,-1.0,0.05454545454545445,-1,0.9354838709677418,1.0,1.0,-1,-1,-0.7878787878787877,0.5,0,0,0,0,0,0,0
1655,-0.41868587644619093,-1.0,-0.4181818181818182,-1,-0.3548387096774195,1.0,1.0,-1,-1,0.6060606060606064,0.0,1,0,0,1,0,0,0
160,0.7158553445390379,-0.9117419922138607,0.709090909090909,-1,0.41935483870967727,1.0,-1.0,-1,-1,0.666666666666667,-0.5,0,0,1,1,1,1,1
1275,-0.9978170705086227,-1.0,-1.0,-1,0.35483870967741926,-0.33333333333333326,1.0,-1,-1,-0.6363636363636362,0.5,0,0,0,0,0,0,0
883,0.27468529433165956,0.3588885073179504,0.2727272727272727,-1,-0.935483870967742,0.3333333333333335,1.0,-1,-1,-0.09090909090909083,-0.5,1,0,0,1,1,0,1
2479,-0.41868587644619093,-1.0,-0.4181818181818182,-1,-0.3548387096774195,1.0,-1.0,-1,-1,0.9696969696969697,0.0,0,0,1,1,0,1,1
1146,0.19944699119551745,-0.48700168394461874,0.19999999999999996,-1,-0.935483870967742,-0.33333333333333326,1.0,-1,-1,-0.45454545454545436,0.5,1,0,0,0,1,0,0
1096,0.3096849305100777,-0.042887562181153416,0.3090909090909091,-1,0.29032258064516125,-0.33333333333333326,1.0,-1,-1,-0.09090909090909083,-0.5,1,0,0,0,1,0,0
874,0.23510150622134884,-1.0,0.23636363636363633,1,0.9354838709677418,0.3333333333333335,1.0,-1,-1,-0.6666666666666665,-0.5,0,0,1,0,0,0,0
663,0.45477697737029743,-1.0,0.45454545454545436,-1,0.9999999999999998,1.0,1.0,-1,-1,-0.1212121212121211,0.0,0,0,1,0,1,1,1
1056,0.09102815979043855,-0.6863574838807249,0.09090909090909083,-1,-0.29032258064516125,1.0,1.0,-1,-1,-0.5454545454545454,0.5,1,0,0,1,1,1,1
2068,-0.560358000436586,-1.0,-0.5636363636363637,-1,0.29032258064516125,1.0,1.0,-1,-1,-0.15151515151515138,-0.5,0,0,0,0,0,0,0
2753,-0.562104344029688,-1.0,-0.5636363636363637,-1,0.29032258064516125,1.0,0.0,0,1,-0.606060606060606,0.5,0,0,1,0,0,0,0
1793,0.49297824346940233,-1.0,0.49090909090909074,-1,-0.935483870967742,-0.33333333333333326,1.0,-1,-1,-0.8181818181818181,-0.5,0,0,0,0,0,0,0
878,-0.8189623808484321,-1.0,-0.8181818181818182,-1,0.9999999999999998,-0.9999999999999999,1.0,-1,-1,0.48484848484848486,-0.5,0,0,0,0,0,0,0
984,-0.8511242086880595,0.11533493966108832,-0.8545454545454545,-1,0.41935483870967727,0.3333333333333335,1.0,-1,-1,-0.8484848484848484,-0.5,0,0,0,1,0,0,0
968,0.4934148293676779,0.15371570614461638,0.49090909090909074,-1,-0.935483870967742,-0.9999999999999999,1.0,-1,-1,-0.5757575757575757,0.0,1,0,0,0,1,0,0
1039,0.09037328094302532,-1.0,0.09090909090909083,-1,-0.29032258064516125,0.3333333333333335,1.0,-1,-1,-0.6363636363636362,0.0,0,0,0,0,0,0,0
1242,0.8921632831259547,-1.0,0.8909090909090909,-1,0.9999999999999998,1.0,1.0,-1,-1,-0.06060606060606055,1.0,0,0,0,0,1,1,1
2345,0.7090882631157678,-1.0,0.709090909090909,-1,0.41935483870967727,-0.9999999999999999,-1.0,0,1,0.666666666666667,-1.0,0,0,1,0,0,1,0
1667,0.01746343593101929,-1.0,0.018181818181818077,-1,-0.29032258064516125,1.0,1.0,-1,-1,0.030303030303030498,1.0,1,0,0,1,0,0,0
682,0.018409372043949546,-0.6863574838807249,0.018181818181818077,-1,-0.29032258064516125,0.3333333333333335,1.0,-1,-1,-0.5757575757575757,1.0,0,0,0,0,1,0,0
1069,-0.6011787819253439,-1.0,-0.6000000000000001,-1,0.29032258064516125,-0.33333333333333326,1.0,-1,-1,0.7575757575757578,-1.0,0,0,0,0,0,0,0
1314,-0.3773557447427782,-0.4571321411555024,-0.38181818181818183,-1,-0.3548387096774195,-0.33333333333333326,1.0,-1,-1,-0.06060606060606055,1.0,1,0,0,0,1,0,0
192,-0.8180892090518811,-1.0,-0.8181818181818182,1,0.9999999999999998,-0.33333333333333326,-1.0,-1,-1,0.6363636363636367,-1.0,0,0,1,0,0,1,0
1239,-0.30917558029542325,-1.0,-0.3090909090909091,-1,-0.29032258064516125,-0.33333333333333326,1.0,-1,-1,0.9393939393939394,-0.5,0,0,0,0,0,0,0
270,-0.14658371534599446,-1.0,-0.1636363636363637,-1,0.29032258064516125,-0.33333333333333326,0.0,0,1,-0.2424242424242422,-0.5,0,0,1,0,0,1,0
1182,1.0,-0.5407552746299201,0.9999999999999998,-1,0.9354838709677418,1.0,1.0,-1,-1,0.6969696969696972,0.5,1,0,0,1,1,1,1
658,0.7461980644691841,-0.41763711520062985,0.7454545454545454,-1,0.9354838709677418,0.3333333333333335,1.0,-1,-1,-0.45454545454545436,0.5,1,0,0,0,1,0,0
1658,0.3818671323582914,-1.0,0.38181818181818183,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,0.3030303030303032,0.0,1,0,0,0,0,0,1
1005,0.27504911591355574,-0.8717504209858761,0.2727272727272727,-1,-0.935483870967742,0.3333333333333335,1.0,-1,-1,-0.06060606060606055,0.5,1,0,0,0,1,0,0
106,0.7170195736011058,-0.947879213802592,0.709090909090909,-1,0.41935483870967727,1.0,-1.0,1,-1,0.12121212121212133,-0.5,1,0,1,0,0,1,1
1089,0.8175798588372261,-1.0,0.8181818181818181,-1,0.29032258064516125,-0.33333333333333326,1.0,-1,-1,-0.48484848484848464,0.0,0,0,0,0,1,0,0
1663,0.6005239030779304,-1.0,0.5999999999999999,-1,0.29032258064516125,-0.33333333333333326,1.0,-1,-1,0.666666666666667,-0.5,0,0,0,0,0,0,0
1406,-0.3799752601324312,-1.0,-0.38181818181818183,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,-0.909090909090909,0.0,0,0,0,0,0,0,0
706,0.41759441170050193,-1.0,0.4181818181818182,-1,0.41935483870967727,1.0,1.0,-1,-1,-0.6363636363636362,0.0,0,0,0,0,0,0,0
2940,-0.08644400785854633,-1.0,-0.09090909090909094,-1,-0.3548387096774195,0.3333333333333335,0.0,0,1,-0.7272727272727272,0.5,1,0,0,0,0,0,0
1910,-0.08731717965509733,-1.0,-0.09090909090909094,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,0.09090909090909105,0.0,0,0,0,0,0,0,0
1037,-0.3796842028669142,-1.0,-0.38181818181818183,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,0.12121212121212133,0.5,0,0,0,0,0,0,0
3086,0.4913046641926797,-1.0,0.49090909090909074,-1,-0.935483870967742,-0.33333333333333326,1.0,-1,-1,0.3030303030303032,-0.5,1,0,0,0,0,0,0
2703,0.27315724368769545,-1.0,0.2727272727272727,-1,-0.935483870967742,1.0,0.0,0,1,-0.7575757575757575,0.0,1,0,1,1,0,0,0
349,-0.23531979917048695,-1.0,-0.23636363636363644,-1,0.41935483870967727,1.0,0.0,0,1,-0.9999999999999999,-0.5,0,0,1,0,0,1,0
3309,-0.38201266099105013,-1.0,-0.38181818181818183,-1,-0.3548387096774195,1.0,1.0,-1,-1,-0.18181818181818166,-0.5,1,0,0,1,0,1,0
1269,0.5998690242305171,-1.0,0.5999999999999999,-1,0.29032258064516125,1.0,1.0,1,-1,0.1515151515151516,0.0,0,0,0,0,0,0,0
