,COUNTY,P17_A,W1AGE,WWWBLACK,W1STATE,STRATA,F3,CD2,P1,X1,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1239,-0.30917558029542325,-0.9999999999999999,0.9393939393939394,-1,-0.3090909090909091,1.0,-0.33333333333333326,-0.9393939393939394,-1.0,-0.9183673469387755,0,0,0,1,1,0,0
270,-0.14658371534599446,-0.1428571428571428,-0.2424242424242422,1,-0.1636363636363637,0.0,-0.33333333333333326,0.24242424242424243,-1.0,-0.9183673469387755,0,0,0,0,1,0,0
1182,1.0,-0.1428571428571428,0.6969696969696972,-1,0.9999999999999998,1.0,1.0,-0.696969696969697,-1.0,-0.9591836734693877,1,0,0,1,0,0,0
658,0.7461980644691841,-0.9999999999999999,-0.45454545454545436,-1,0.7454545454545454,1.0,-0.33333333333333326,0.4545454545454546,-1.0,-0.9591836734693877,1,0,0,1,0,0,0
1658,0.3818671323582914,-0.1428571428571428,0.3030303030303032,-1,0.38181818181818183,1.0,0.3333333333333335,-0.24242424242424243,-1.0,-0.9387755102040817,1,0,0,1,1,0,0
1005,0.27504911591355574,0.7142857142857144,-0.06060606060606055,-1,0.2727272727272727,1.0,0.3333333333333335,0.06060606060606055,-1.0,-0.9795918367346939,1,0,0,1,1,0,0
106,0.7170195736011058,1.0,0.12121212121212133,-1,0.709090909090909,-1.0,1.0,-0.1212121212121211,-1.0,-0.9591836734693877,1,0,1,1,0,0,0
1089,0.8175798588372261,0.7142857142857144,-0.48484848484848464,-1,0.8181818181818181,1.0,0.3333333333333335,0.48484848484848486,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
1663,0.6005239030779304,0.7142857142857144,0.666666666666667,-1,0.5999999999999999,1.0,0.3333333333333335,-0.6060606060606061,-1.0,-0.9591836734693877,0,0,0,1,1,0,0
1406,-0.3799752601324312,-0.1428571428571428,-0.909090909090909,-1,-0.38181818181818183,1.0,-0.9999999999999999,0.9090909090909092,-0.5,-0.9591836734693877,0,0,1,1,0,0,0
706,0.41759441170050193,-0.9999999999999999,-0.6363636363636362,-1,0.4181818181818182,1.0,1.0,0.6363636363636362,-1.0,-0.9591836734693877,0,0,0,1,0,0,0
2940,-0.08644400785854633,0.7142857142857144,-0.7272727272727272,1,-0.09090909090909094,0.0,0.3333333333333335,0.7878787878787881,-1.0,-0.9183673469387755,1,0,0,0,0,0,0
1910,-0.08731717965509733,-0.1428571428571428,0.09090909090909105,-1,-0.09090909090909094,1.0,0.3333333333333335,-0.030303030303030276,-1.0,-0.9387755102040817,0,0,0,1,1,0,0
1037,-0.3796842028669142,-0.1428571428571428,0.12121212121212133,-1,-0.38181818181818183,1.0,0.3333333333333335,-0.1212121212121211,-1.0,-0.9591836734693877,0,0,0,1,1,0,0
3086,0.4913046641926797,-0.9999999999999999,0.3030303030303032,-1,0.49090909090909074,1.0,-0.9999999999999999,-0.24242424242424243,-1.0,-0.9387755102040817,1,0,0,1,1,0,0
2703,0.27315724368769545,0.7142857142857144,-0.7575757575757575,1,0.2727272727272727,0.0,1.0,0.8181818181818183,-1.0,-0.9591836734693877,1,0,0,0,0,0,0
349,-0.23531979917048695,-0.9999999999999999,-0.9999999999999999,1,-0.23636363636363644,0.0,-0.9999999999999999,1.0,-1.0,-0.9387755102040817,0,0,0,0,0,0,0
3309,-0.38201266099105013,-0.9999999999999999,-0.18181818181818166,-1,-0.38181818181818183,1.0,0.3333333333333335,0.24242424242424243,-1.0,-0.9591836734693877,1,0,0,1,1,0,0
1269,0.5998690242305171,-0.1428571428571428,0.1515151515151516,-1,0.5999999999999999,1.0,1.0,-0.1515151515151516,-0.5,-0.9795918367346939,0,0,0,1,0,0,0
915,-0.08644400785854633,0.7142857142857144,-0.45454545454545436,-1,-0.09090909090909094,1.0,-0.9999999999999999,0.4545454545454546,-1.0,-0.9591836734693877,0,0,0,1,0,0,0
1165,-0.16444735501709973,-0.9999999999999999,-0.5454545454545454,-1,-0.1636363636363637,1.0,0.3333333333333335,0.5454545454545454,-1.0,-0.9795918367346939,1,0,0,1,0,0,0
